,0,1,2,3,4,5,6,7,8,9,10,11,12
66,0.06741367,0.069106214,0.16655861,0.06881478,0.06781763,0.068321906,0.0656326,0.06647019,0.06633473,0.067842506,0.067274004,0.066216685,0.066308424
67,0.06562207,0.06868609,0.16788721,0.068435416,0.06738879,0.067934886,0.06516238,0.06602963,0.06589681,0.067450814,0.066871166,0.06576592,0.06586761
68,0.063896365,0.06826688,0.16916999,0.068058975,0.06696247,0.06755197,0.06469385,0.065590404,0.06546037,0.06706054,0.06647074,0.06531751,0.06542941
69,0.062234297,0.06784834,0.17040485,0.06768482,0.06653694,0.067171484,0.06422653,0.06514933,0.06502541,0.0666674,0.06607272,0.06487158,0.06499292
70,0.06062429,0.06743109,0.17159265,0.067313656,0.06611405,0.066794075,0.0637604,0.06470803,0.064592235,0.066267535,0.06567708,0.06442771,0.06455852
71,0.0590716,0.067016006,0.1727301,0.06694562,0.06569198,0.066420205,0.06329557,0.06426573,0.064160675,0.06586311,0.0652838,0.063986756,0.06412691
72,0.05760415,0.06660187,0.17381372,0.066580355,0.06527255,0.06604955,0.06283175,0.06382256,0.06373048,0.06545735,0.06489288,0.063548245,0.06369688
73,0.05614136,0.066189066,0.17484473,0.066217765,0.06485427,0.06568235,0.062369492,0.0633785,0.063301854,0.06505088,0.064504296,0.06311307,0.0632692
74,0.054786365,0.06577836,0.17581429,0.06585819,0.06443819,0.06531847,0.06190814,0.06293335,0.06287512,0.064619824,0.06411805,0.06268014,0.06284331
75,0.053481113,0.06536878,0.17671533,0.0655019,0.06402381,0.064958066,0.061448988,0.062487364,0.062449627,0.0641743,0.063734114,0.062250223,0.062420372
76,0.052194882,0.064961046,0.17755018,0.0651484,0.06361215,0.064601205,0.060990613,0.06203841,0.062025268,0.06373087,0.063352466,0.061823238,0.06199949
77,0.0509303,0.06455422,0.17830575,0.064798094,0.06320213,0.064247616,0.06053411,0.06158791,0.061602138,0.0632786,0.06297311,0.06139939,0.061581388
78,0.049385782,0.06414912,0.17896976,0.06444946,0.062793896,0.06389788,0.060077436,0.061134942,0.061180033,0.06280743,0.06259603,0.060978662,0.06116501
79,0.04781086,0.06374566,0.17952657,0.06410411,0.062387176,0.06355149,0.059622295,0.060678788,0.060758676,0.06232849,0.062221203,0.06056078,0.060751256
80,0.04656631,0.06334382,0.17995963,0.0637623,0.061984215,0.063208856,0.05917039,0.060219247,0.060339455,0.06187146,0.061848626,0.06014694,0.06034053
81,0.04543825,0.06294417,0.18030438,0.06342338,0.061582915,0.062869556,0.0587203,0.059760522,0.059921533,0.061419755,0.061478272,0.059735984,0.05993196
82,0.043729685,0.06254575,0.18046461,0.06308696,0.061183114,0.06253425,0.058269016,0.059293166,0.05950218,0.06091647,0.061110143,0.059328463,0.059525423
83,0.041898146,0.06214938,0.18045935,0.0627532,0.060786083,0.0622025,0.057819,0.058822434,0.05908328,0.060391303,0.06074421,0.058924127,0.059121378
84,0.03995686,0.061754696,0.18024641,0.062422547,0.060390856,0.061874628,0.057370503,0.05834842,0.05866454,0.059848204,0.060380477,0.05852391,0.05871943
85,0.037895452,0.061361767,0.17980297,0.062094636,0.05999809,0.061550245,0.056923207,0.057870556,0.058245435,0.059292622,0.060018916,0.058127005,0.05832034
86,0.035731893,0.060970485,0.17911246,0.06176951,0.05960767,0.061229598,0.05647755,0.057389017,0.05782629,0.058723886,0.059659526,0.057733905,0.05792384
87,0.03345659,0.060581304,0.17814504,0.061447594,0.059219625,0.0609127,0.056033287,0.05690384,0.057407632,0.058141556,0.059302285,0.057344187,0.05752992
88,0.031050827,0.06019384,0.17683606,0.06112799,0.05883426,0.060600206,0.055590358,0.056414396,0.05698829,0.057544842,0.05894718,0.05695856,0.057138536
89,0.02848894,0.059808355,0.17514335,0.060811125,0.05845156,0.06029088,0.055149026,0.055921126,0.056567367,0.056933146,0.0585942,0.056576837,0.05675014
90,0.02576115,0.05942451,0.17302348,0.06049673,0.058071714,0.05998589,0.054709267,0.055422775,0.05614546,0.056296293,0.05824334,0.056199037,0.056364235
91,0.022840584,0.059042532,0.1703466,0.060184654,0.057694245,0.059684254,0.054271042,0.05491834,0.055722013,0.055642672,0.05789458,0.055825274,0.05598116
92,0.01970103,0.05866273,0.16701822,0.05987424,0.057319835,0.059387065,0.053834766,0.05440754,0.055297315,0.05497151,0.05754791,0.055455536,0.055600632
93,0.018592557,0.058284312,0.16411446,0.059571058,0.056954894,0.059094556,0.053414963,0.05396768,0.054880984,0.05454232,0.05720331,0.05509006,0.055225756
94,0.017431429,0.057907857,0.16067488,0.05927076,0.056592897,0.05880583,0.052998915,0.053528838,0.054464817,0.054113373,0.056860782,0.054728806,0.05485395
95,0.016177926,0.057533756,0.1566147,0.058972206,0.05623453,0.058521356,0.052587207,0.053090617,0.054049153,0.053684358,0.056520294,0.05437182,0.05448447
96,0.014848029,0.05716124,0.15193576,0.05867556,0.05588023,0.058240756,0.052179128,0.052654274,0.053635605,0.053255208,0.056181855,0.054018863,0.05411768
97,0.013516455,0.0567899,0.14661177,0.058380555,0.055529565,0.057964154,0.051774755,0.05222104,0.053223222,0.052840367,0.055845432,0.053670034,0.053754214
98,0.012148418,0.05642063,0.14058506,0.05808639,0.055182494,0.057691444,0.05137336,0.05179147,0.052809767,0.052426044,0.055511035,0.05332534,0.053393528
99,0.010709213,0.05605317,0.13394739,0.05779285,0.054839205,0.057422694,0.05097619,0.051363885,0.05239722,0.052012544,0.055178635,0.05298493,0.053035796
100,0.009283598,0.05568542,0.12693962,0.057501055,0.05449921,0.057157896,0.05058205,0.050937112,0.05198613,0.051600184,0.054848224,0.052648604,0.05268142
101,0.007912334,0.05531968,0.1194313,0.05721001,0.054162834,0.056896377,0.05019228,0.05051747,0.051577415,0.05118831,0.05451979,0.052316073,0.05232976
